persona,username,password,federation,home_org,full_name,email,notes
"System Administrator","admin","admin","Platform (all)","Administration","System Administrator","admin@divinghq.local","Super-admin from init.sql — cross-org access"
"Org Admin","aus.admin","password123","Diving Australia","Diving Australia","Isla Jones","aus.admin@divingaustralia.org.au","Federation administrator for Diving Australia"
"Meet Manager","aus.manager","password123","Diving Australia","Diving Australia","Felix Evans","aus.manager@divingaustralia.org.au",""
"Referee","aus.referee","password123","Diving Australia","Diving Australia","Zoe Tran","aus.referee@divingaustralia.org.au",""
"Diver","aus.diver.01","password123","Diving Australia","Diving Australia","Max Murphy","aus.diver.01@divingaustralia.org.au",""
"Diver","aus.diver.02","password123","Diving Australia","Diving Australia","Daniel Roberts","aus.diver.02@divingaustralia.org.au",""
"Diver","aus.diver.03","password123","Diving Australia","Diving Australia","Samuel Campbell","aus.diver.03@divingaustralia.org.au",""
"Diver","aus.diver.04","password123","Diving Australia","Diving Australia","Daniel Robinson","aus.diver.04@divingaustralia.org.au",""
"Diver","aus.diver.05","password123","Diving Australia","Diving Australia","Hugo Walker","aus.diver.05@divingaustralia.org.au",""
"Diver","aus.diver.06","password123","Diving Australia","Diving Australia","Oliver Reid","aus.diver.06@divingaustralia.org.au",""
"Diver","aus.diver.07","password123","Diving Australia","Diving Australia","Hugo Anderson","aus.diver.07@divingaustralia.org.au","Has an in-flight cross-federation transfer (source approved, target pending)"
"Diver","aus.diver.08","password123","Diving Australia","Diving Australia","Felix Williams","aus.diver.08@divingaustralia.org.au",""
"Diver","aus.diver.09","password123","Diving Australia","Diving Australia","Liam Ward","aus.diver.09@divingaustralia.org.au",""
"Diver","aus.diver.10","password123","Diving Australia","Diving Australia","Noah Singh","aus.diver.10@divingaustralia.org.au",""
"Diver","aus.diver.11","password123","Diving Australia","Diving Australia","Sophie Patel","aus.diver.11@divingaustralia.org.au",""
"Diver","aus.diver.12","password123","Diving Australia","Diving Australia","Holly Wilson","aus.diver.12@divingaustralia.org.au",""
"Diver","aus.diver.13","password123","Diving Australia","Diving Australia","Ella Wright","aus.diver.13@divingaustralia.org.au",""
"Diver","aus.diver.14","password123","Diving Australia","Diving Australia","Freya Anderson","aus.diver.14@divingaustralia.org.au",""
"Diver","aus.diver.15","password123","Diving Australia","Diving Australia","Holly Hayes","aus.diver.15@divingaustralia.org.au",""
"Diver","aus.diver.16","password123","Diving Australia","Diving Australia","Tara Patel","aus.diver.16@divingaustralia.org.au",""
"Diver","aus.diver.17","password123","Diving Australia","Diving Australia","Ella Robinson","aus.diver.17@divingaustralia.org.au",""
"Diver","aus.diver.18","password123","Diving Australia","Diving Australia","Isla Campbell","aus.diver.18@divingaustralia.org.au",""
"Diver","aus.diver.19","password123","Diving Australia","Diving Australia","Ella Brown","aus.diver.19@divingaustralia.org.au",""
"Diver","aus.diver.20","password123","Diving Australia","Diving Australia","Sienna Williams","aus.diver.20@divingaustralia.org.au","SUSPENDED account — use to test reactivation"
"Coach","aus.coach.01","password123","Diving Australia","Diving Australia","Logan Campbell","aus.coach.01@divingaustralia.org.au",""
"Coach","aus.coach.02","password123","Diving Australia","Diving Australia","Felix Williams","aus.coach.02@divingaustralia.org.au",""
"Spectator","aus.fan.01","password123","Diving Australia","Diving Australia","Sophie Evans","aus.fan.01@divingaustralia.org.au","Has a pending role request (judge) awaiting approval"
"Spectator","aus.fan.02","password123","Diving Australia","Diving Australia","Noah Wilson","aus.fan.02@divingaustralia.org.au",""
"Org Admin","gbr.admin","password123","British Aquatic Sports","British Aquatic Sports","James Clarke","gbr.admin@britishaquatic.org.uk","Federation administrator for British Aquatic Sports"
"Meet Manager","gbr.manager","password123","British Aquatic Sports","British Aquatic Sports","Holly Hayes","gbr.manager@britishaquatic.org.uk",""
"Referee","gbr.referee","password123","British Aquatic Sports","British Aquatic Sports","Hugo Lee","gbr.referee@britishaquatic.org.uk",""
"Diver","gbr.diver.01","password123","British Aquatic Sports","British Aquatic Sports","Thomas Mitchell","gbr.diver.01@britishaquatic.org.uk",""
"Diver","gbr.diver.02","password123","British Aquatic Sports","British Aquatic Sports","Daniel Tran","gbr.diver.02@britishaquatic.org.uk",""
"Diver","gbr.diver.03","password123","British Aquatic Sports","British Aquatic Sports","William Taylor","gbr.diver.03@britishaquatic.org.uk",""
"Diver","gbr.diver.04","password123","British Aquatic Sports","British Aquatic Sports","Max Lee","gbr.diver.04@britishaquatic.org.uk",""
"Diver","gbr.diver.05","password123","British Aquatic Sports","British Aquatic Sports","Noah Murphy","gbr.diver.05@britishaquatic.org.uk","Has a pending club-change request awaiting org-admin approval"
"Diver","gbr.diver.06","password123","British Aquatic Sports","British Aquatic Sports","Felix Tran","gbr.diver.06@britishaquatic.org.uk",""
"Diver","gbr.diver.07","password123","British Aquatic Sports","British Aquatic Sports","Hugo Robinson","gbr.diver.07@britishaquatic.org.uk",""
"Diver","gbr.diver.08","password123","British Aquatic Sports","British Aquatic Sports","Ryan Hayes","gbr.diver.08@britishaquatic.org.uk",""
"Diver","gbr.diver.09","password123","British Aquatic Sports","British Aquatic Sports","Ryan O'Brien","gbr.diver.09@britishaquatic.org.uk",""
"Diver","gbr.diver.10","password123","British Aquatic Sports","British Aquatic Sports","William Clarke","gbr.diver.10@britishaquatic.org.uk",""
"Diver","gbr.diver.11","password123","British Aquatic Sports","British Aquatic Sports","Zoe Walker","gbr.diver.11@britishaquatic.org.uk",""
"Diver","gbr.diver.12","password123","British Aquatic Sports","British Aquatic Sports","Zoe Hughes","gbr.diver.12@britishaquatic.org.uk",""
"Diver","gbr.diver.13","password123","British Aquatic Sports","British Aquatic Sports","Chloe Foster","gbr.diver.13@britishaquatic.org.uk",""
"Diver","gbr.diver.14","password123","British Aquatic Sports","British Aquatic Sports","Holly Mitchell","gbr.diver.14@britishaquatic.org.uk",""
"Diver","gbr.diver.15","password123","British Aquatic Sports","British Aquatic Sports","Ivy Robinson","gbr.diver.15@britishaquatic.org.uk",""
"Diver","gbr.diver.16","password123","British Aquatic Sports","British Aquatic Sports","Holly Hughes","gbr.diver.16@britishaquatic.org.uk",""
"Diver","gbr.diver.17","password123","British Aquatic Sports","British Aquatic Sports","Zoe Hughes","gbr.diver.17@britishaquatic.org.uk",""
"Diver","gbr.diver.18","password123","British Aquatic Sports","British Aquatic Sports","Ava Anderson","gbr.diver.18@britishaquatic.org.uk",""
"Diver","gbr.diver.19","password123","British Aquatic Sports","British Aquatic Sports","Emily Taylor","gbr.diver.19@britishaquatic.org.uk",""
"Diver","gbr.diver.20","password123","British Aquatic Sports","British Aquatic Sports","Ruby Murphy","gbr.diver.20@britishaquatic.org.uk",""
"Coach","gbr.coach.01","password123","British Aquatic Sports","British Aquatic Sports","Tara Reid","gbr.coach.01@britishaquatic.org.uk",""
"Coach","gbr.coach.02","password123","British Aquatic Sports","British Aquatic Sports","James Patel","gbr.coach.02@britishaquatic.org.uk",""
"Spectator","gbr.fan.01","password123","British Aquatic Sports","British Aquatic Sports","Hugo Ward","gbr.fan.01@britishaquatic.org.uk",""
"Spectator","gbr.fan.02","password123","British Aquatic Sports","British Aquatic Sports","Ruby Brown","gbr.fan.02@britishaquatic.org.uk",""
"Judge","judge.01","password123","Both (AUS + GBR)","British Aquatic Sports","Lucas Mitchell","judge.01@britishaquatic.org.uk",""
"Judge","judge.02","password123","Both (AUS + GBR)","Diving Australia","Lily Singh","judge.02@divingaustralia.org.au",""
"Judge","judge.03","password123","Both (AUS + GBR)","British Aquatic Sports","Emily Evans","judge.03@britishaquatic.org.uk","Scores erratically (harsh low-baller) — showcases Judge Analysis outliers"
"Judge","judge.04","password123","Both (AUS + GBR)","Diving Australia","Zoe Reid","judge.04@divingaustralia.org.au",""
"Judge","judge.05","password123","Both (AUS + GBR)","British Aquatic Sports","Oliver Wilson","judge.05@britishaquatic.org.uk",""
"Judge","judge.06","password123","Both (AUS + GBR)","Diving Australia","Mia Lee","judge.06@divingaustralia.org.au",""
"Judge","judge.07","password123","Both (AUS + GBR)","British Aquatic Sports","Ethan Singh","judge.07@britishaquatic.org.uk",""
"Judge","judge.08","password123","Both (AUS + GBR)","Diving Australia","Lara Campbell","judge.08@divingaustralia.org.au",""
"Judge","judge.09","password123","Both (AUS + GBR)","British Aquatic Sports","Noah Hughes","judge.09@britishaquatic.org.uk",""
"Judge","judge.10","password123","Both (AUS + GBR)","Diving Australia","Hannah Wilson","judge.10@divingaustralia.org.au",""
"Judge","judge.11","password123","Both (AUS + GBR)","British Aquatic Sports","Leo Tran","judge.11@britishaquatic.org.uk",""
